id,soc.t.ha,thickness.dm,x,y
P 000106,33.5193601,3.5,3002536.063,449367.4624
P 000108,122.7904893,12.5,3116484.471,450207.1601
P 000120,70.72367453,8.7,3094540.527,437779.5056
P 000124,25.29704659,1.1,3139771.093,438822.951
P 000133,28.20589166,2.1,3066277.023,431771.4755
P 000134,24.42330826,8.1,3097225.448,432071.7868
P 000141,107.1318879,10.6,3083424.577,421397.4255
P 000201,152.4112441,12.5,3098230.824,451350.1477
P 000202,156.8480494,9.7,3095902.466,453601.313
P 000203,19.80383673,4.6,3107480.25,429406.8158
P 000204,164.0944533,12.7,3115881.99,448372.8588
P 000205,2.213998784,0.8,3072020.548,426818.5888
P 000206,7.601812219,3.8,3052445.058,430301.5498
P 000207,29.13861597,4,3045984.095,443272.9581
P 000208,26.72045935,5.4,2990468.051,451626.0021
P 002003,103.0880946,8.6,3571557.807,482019.964
P 002004,119.1132657,7.2,3383008.02,468694.9234
P 002010,96.25354794,2.5,3534445.877,475124.1947
P 002022,30.87101495,1.8,3492232.502,466999.925
P 002025,61.49348518,3.8,3392012.228,458939.3807
P 002030,77.67702641,3,3569385.889,464587.8442
P 002031,127.3425062,13,3407531.603,453565.3757
P 002037,33.05118536,14,3472064.218,452486.471
P 002041,117.4939212,10.8,3505592.797,450775.166
P 002044,50.92102249,4.7,3426753.039,441946.7818
P 002048,44.23183133,12.5,3442672.395,434201.5994
P 002050,75.43370038,6.7,3511855.839,436002.0611
P 002064,239.4447798,5,3541318.773,416784.3206
P 002070,42.03530374,7.6,3482784.01,410588.3489
P 002079,330.4958669,12.5,3555475.441,399221.3467
P 002085,38.33210271,3.3,3491481.619,389412.3048
P 002090,170.883441,12.5,3543336.136,385217.2971
P 002091,158.0544301,4.3,3568599.124,383565.6455
P 002093,78.0625149,11,3535563.918,378265.2362
P 002096,113.8087744,3.2,3518643.612,373595.2339
P 002099,46.71411854,12.5,3534683.721,371548.7204
P 002100,72.62341408,7,3553212.605,409390.6479
P 002101,31.1214704,1.5,3527538.211,447939.567
P 002102,80.13721608,12.5,3572348.659,440492.0694
P 002103,128.3526714,2.5,3568462.943,450694.0582
P 002104,137.4179386,12.5,3553607.929,442205.1034
P 002105,249.3824338,12.5,3557337.758,422598.1381
P 002106,28.65666566,0.7,3500940.973,384426.1381
P 002107,50.87251312,6.3,3506688.384,411611.8246
P 002108,82.72094945,12.2,3482148.459,429052.0796
P 002109,141.9186879,6,3460710.449,410126.0529
P 002110,47.05190937,4,3463149.277,438034.2734
P 002111,24.76382231,4.5,3432384.738,430227.805
P 002112,26.33587676,1,3450421.267,454678.4214
P 002113,130.7283176,12.5,3533314.584,393898.5968
P 002114,32.38122559,12.5,3517643.302,384129.2603
P 002115,50.40746955,4.8,3478032.254,407953.609
P 002116,78.47212692,6.5,3456134.173,422713.4225
P 002117,36.40006537,4,3379691.287,464140.6352
P 004001,189.279979,8.5,3557465.735,366912.3925
P 004005,74.96088127,1.7,3514677.065,358867.766
